TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403463471.201645,403463474.4714,403463452.16319704,0.339993,6.546e-09,8.835e-10,0.716,0.195
403463480.991183,403463481.47862,403463461.04247904,0.300326,3.549e-09,6.476e-10,0.297,0.128
403463492.329924,403463492.98989,403463464.79217505,0.559975,7.701e-09,9.488e-10,0.655,0.165
403463503.419016,403463504.368959,403463469.35180604,0.112367,2.319e-09,5.070e-10,0.399,0.193
403463506.535551,403463506.865457,403463471.46163404,3.269754,2.004e-08,1.546e-09,0.529,0.085
403463510.393819,403463510.695932,403463481.13084805,0.487437,2.520e-09,5.271e-10,0.517,0.225
403463514.782265,403463515.887828,403463492.549916,0.659966,2.991e-08,2.219e-09,0.441,0.071
403463526.917083,403463527.897022,403463503.48902106,0.949942,1.697e-08,1.476e-09,0.383,0.074
403463533.484772,403463533.817608,403463506.54877007,0.329906,2.942e-09,5.773e-10,1.170,0.459
403463537.676194,403463538.44615,403463510.668432,0.302113,3.042e-09,5.873e-10,0.507,0.207
403463541.2259,403463541.635886,403463515.128065,1.105562,3.288e-09,6.024e-10,0.502,0.194
403463542.955756,403463543.895698,403463527.70702803,0.979939,3.587e-08,2.485e-09,0.695,0.098
403463552.724945,403463553.314916,403463533.576543,0.332836,2.821e-09,5.622e-10,0.663,0.271
403463560.729914,403463560.939475,403463538.016176,0.769956,1.441e-08,1.335e-09,0.620,0.118
403463564.823937,403463565.823874,403463541.335901,0.409986,5.497e-09,8.032e-10,0.674,0.200
403463573.196163,403463573.322612,403463543.565716,0.939942,4.428e-09,7.078e-10,1.156,0.370
403463579.915127,403463579.968781,403463553.154919,0.589971,8.208e-09,9.739e-10,0.917,0.218
403463583.402383,403463584.75229,403463560.83428,0.209562,3.258e-09,6.175e-10,0.333,0.145
403463595.311382,403463595.58138,403463565.203915,0.999937,1.635e-08,1.451e-09,0.378,0.075
403463598.451118,403463599.331064,403463573.24324405,0.126449,1.737e-09,4.367e-10,0.602,0.310
403463607.510354,403463608.160319,403463579.942683,0.053654,9.488e-10,3.163e-10,0.800,0.537
403463611.050055,403463611.300054,403463583.83235705,1.349907,1.233e-08,1.200e-09,0.579,0.117
403463619.201943,403463619.501345,403463595.46138,0.269997,6.797e-09,9.187e-10,0.716,0.196
403463627.928625,403463628.068633,403463598.571118,0.879946,2.686e-08,1.943e-09,0.607,0.090
403463637.112078,403463637.470705,403463607.5603601,0.649965,2.173e-08,1.732e-09,0.479,0.082
403463647.646947,403463648.116927,403463611.13005805,0.249999,4.518e-09,7.229e-10,0.302,0.115
403463652.457878,403463652.640285,403463619.319365,0.299402,2.952e-09,5.773e-10,0.448,0.190
403463655.506276,403463656.216235,403463627.978631,0.140008,4.995e-09,7.630e-10,0.626,0.194
403463660.47585,403463661.305799,403463637.12785304,0.358626,1.842e-09,4.468e-10,0.417,0.221
403463664.062704,403463664.922241,403463648.08691907,0.46998,7.164e-09,9.036e-10,0.657,0.169
403463673.164762,403463674.574661,403463652.566537,0.182406,2.821e-09,5.622e-10,0.552,0.231
403463690.803244,403463691.593196,403463656.06623805,0.709959,5.226e-09,7.630e-10,0.375,0.123
403463699.802466,403463701.622329,403463660.875826,0.829949,4.438e-09,7.028e-10,0.437,0.151
403463706.781862,403463708.561728,403463664.89548206,0.859537,3.901e-09,6.576e-10,0.667,0.230
403463721.720566,403463722.440524,403463673.30476,1.409899,2.995e-08,2.184e-09,0.900,0.131
403463730.339816,403463731.229758,403463691.37320507,0.789952,6.897e-09,8.986e-10,0.440,0.124
403463748.138262,403463748.478252,403463700.092451,1.819863,8.720e-08,4.543e-09,0.445,0.050
403463750.528053,403463751.617978,403463708.0917591,1.779866,2.159e-08,1.632e-09,0.463,0.075
403463762.779859,403463763.017524,403463722.07054603,0.719957,1.712e-08,1.476e-09,0.638,0.112
403463781.8653,403463783.425182,403463730.3798231,0.889942,6.089e-09,8.434e-10,0.852,0.237
403463825.311451,403463827.261297,403463748.25826204,0.33999,4.332e-09,7.128e-10,0.768,0.256
403463830.321005,403463831.83089,403463751.09801304,1.089925,5.667e-08,3.253e-09,0.508,0.062
403463870.967367,403463872.647236,403463762.876981,0.237666,3.710e-09,6.476e-10,1.364,0.482
403463892.945388,403463893.705339,403463783.2351891,1.559883,6.988e-09,8.885e-10,0.322,0.096
403463899.915416,403463900.013067,403463825.391454,1.949846,6.797e-09,8.685e-10,0.450,0.124
403463904.194371,403463905.214299,403463830.510998,1.509885,3.802e-08,2.455e-09,0.401,0.057
403463907.294091,403463908.334017,403463871.44733405,1.679869,6.626e-09,8.685e-10,0.736,0.194
403463923.542618,403463924.462554,403463893.32536304,0.759951,2.054e-08,1.742e-09,0.512,0.092
403463938.193457,403463938.340091,403463899.924767,0.097651,1.436e-09,3.966e-10,0.437,0.264
403463954.59979,403463959.569356,403463904.33436906,1.019928,9.854e-09,1.094e-09,0.831,0.186
403463974.91032,403463975.027326,403463907.38409305,1.039926,1.017e-08,1.124e-09,0.805,0.179
403463985.896924,403463987.086834,403463923.8026041,0.919936,1.581e-08,1.391e-09,0.794,0.141
403464003.301717,403464003.757415,403463938.231292,0.146634,2.962e-09,5.823e-10,0.532,0.218
403464011.594559,403464012.734474,403463954.769784,4.969566,4.407e-08,2.324e-09,0.575,0.063
403464014.682136,403464014.985675,403463974.917941,0.117006,8.584e-10,3.012e-10,0.977,0.691
403464017.413591,403464017.498934,403463986.37689006,1.189911,1.625e-07,8.429e-09,0.520,0.057
403464030.175977,403464031.06904,403464003.375327,0.455698,1.877e-09,4.568e-10,0.408,0.216
403464036.552253,403464037.042228,403464012.68446803,1.139915,7.741e-09,9.538e-10,0.932,0.230
403464042.611691,403464043.001675,403464014.84426904,0.303538,3.941e-09,6.677e-10,0.513,0.183
403464062.328784,403464062.372352,403464017.43403006,0.085343,1.461e-09,4.066e-10,0.420,0.252
403464070.147649,403464070.476641,403464030.4928241,0.893064,1.948e-09,4.618e-10,0.617,0.298
403464088.127459,403464090.68724,403464036.70224905,0.489975,1.866e-08,1.571e-09,0.275,0.056
403464094.316881,403464095.876755,403464042.88167703,0.389984,1.182e-08,1.200e-09,0.498,0.108
403464101.49621,403464102.326153,403464062.33987,0.043568,1.205e-09,3.665e-10,1.759,1.112
403464105.215862,403464106.425769,403464070.209139,0.328991,3.981e-09,6.827e-10,0.618,0.218
403464109.655447,403464110.005434,403464090.4572511,2.559781,3.011e-08,1.973e-09,0.553,0.076
403464112.93514,403464114.75499,403464094.816844,1.559874,2.340e-08,1.732e-09,0.465,0.073
403464118.084658,403464119.164577,403464101.526217,0.829942,1.351e-08,1.300e-09,0.537,0.108
403464121.274359,403464122.284284,403464105.9958,1.209907,2.859e-08,2.008e-09,0.857,0.121
403464126.09699,403464126.554546,403464109.935431,0.349987,7.625e-09,9.538e-10,0.711,0.181
403464128.333697,403464129.433614,403464113.05513906,1.81985,3.127e-07,1.182e-08,0.392,0.033
403464135.136315,403464135.332878,403464118.674613,1.079919,8.900e-09,1.044e-09,0.429,0.110
403464136.442936,403464137.732835,403464121.57434106,1.009925,4.053e-08,2.535e-09,0.465,0.063
403464139.212676,403464140.152607,403464126.193908,0.457556,3.122e-09,6.024e-10,0.229,0.114
403464146.941949,403464149.701709,403464128.42369807,1.099917,1.521e-08,1.375e-09,0.574,0.107
403464177.999023,403464182.828587,403464135.2730551,0.196563,2.374e-09,5.171e-10,0.609,0.273
403464187.278146,403464190.247885,403464137.46285,1.289899,1.440e-07,6.491e-09,0.493,0.047
403464198.197114,403464198.947063,403464139.3126761,0.939932,4.898e-08,3.037e-09,0.519,0.068
403464204.076557,403464205.216469,403464146.961957,2.75976,2.206e-07,7.816e-09,0.530,0.039
403464211.383981,403464211.700815,403464180.14883006,4.829564,1.006e-07,4.267e-09,0.544,0.048
403464216.093905,403464216.196731,403464188.32805705,2.969739,6.346e-08,3.373e-09,0.571,0.063
403464217.541067,403464217.810945,403464198.757071,0.749949,1.735e-08,1.541e-09,0.376,0.075
403464220.814971,403464221.054968,403464204.346542,1.139912,1.022e-07,5.407e-09,0.538,0.060
403464225.714506,403464226.344466,403464211.54586005,0.316834,2.871e-09,5.622e-10,0.294,0.137
403464242.452916,403464242.932891,403464216.145424,0.102826,2.379e-09,5.171e-10,0.505,0.233
403464249.012293,403464249.472269,403464217.565289,0.269878,3.936e-09,6.777e-10,0.302,0.123
403464252.451965,403464252.811951,403464221.00496304,0.239997,5.979e-09,8.383e-10,0.416,0.128
403464259.881258,403464260.041263,403464225.99449,0.62996,9.287e-09,1.044e-09,0.644,0.148
403464261.170933,403464261.275424,403464242.492923,0.479974,6.566e-09,8.685e-10,1.022,0.271
403464265.64071,403464265.920703,403464249.072297,0.459976,2.390e-08,1.963e-09,0.489,0.085
403464285.968771,403464286.468744,403464252.771945,0.359986,1.119e-08,1.220e-09,0.527,0.121
403464293.868017,403464294.387988,403464259.9712601,0.160005,4.473e-09,7.279e-10,0.618,0.203
403464297.577663,403464298.047638,403464261.1711451,0.104491,1.662e-09,4.317e-10,0.660,0.349
403464301.127324,403464301.467311,403464265.6907151,0.279993,6.857e-09,9.086e-10,0.292,0.093
403464302.907154,403464303.347132,403464286.2787521,0.499972,1.734e-08,1.591e-09,0.457,0.090
403464307.286735,403464309.356557,403464293.88802505,0.51997,1.675e-08,1.551e-09,0.732,0.137
403464310.986381,403464311.636339,403464297.657665,0.469975,5.492e-09,7.932e-10,0.650,0.192
403464312.116273,403464313.126197,403464301.337314,0.339988,8.825e-09,1.089e-09,0.616,0.156
403464314.86601,403464315.835937,403464303.007154,0.439978,1.055e-08,1.165e-09,0.470,0.112
403464319.265589,403464319.915547,403464308.646615,2.069822,6.731e-08,3.378e-09,0.380,0.043
403464324.985042,403464325.784985,403464311.116379,0.649958,4.448e-08,3.007e-09,0.582,0.081
403464330.884477,403464331.714417,403464312.38625705,1.009923,4.324e-08,2.836e-09,0.415,0.060
403464335.13407,403464335.23408,403464315.046003,0.969927,3.647e-07,1.840e-08,0.485,0.052
403464337.793815,403464338.863732,403464319.405586,0.649958,1.175e-08,1.240e-09,0.469,0.105
403464342.393374,403464343.673271,403464325.265025,0.799943,6.395e-08,3.906e-09,0.393,0.053
403464345.513075,403464346.61299,403464330.9644791,0.829941,2.929e-08,2.179e-09,0.555,0.086
403464349.472695,403464351.542517,403464335.1740761,0.10001,4.704e-09,7.630e-10,0.386,0.137
403464356.152054,403464356.51204,403464338.803728,1.069917,3.319e-08,2.364e-09,0.354,0.057
403464358.091868,403464359.74173,403464343.423285,1.279897,4.453e-08,2.701e-09,0.483,0.063
403464363.351364,403464363.851336,403464346.10302806,1.099915,1.596e-08,1.446e-09,0.518,0.100
403464365.761132,403464366.441087,403464349.772676,2.069821,2.818e-08,1.928e-09,0.485,0.071
403464369.300792,403464371.380613,403464356.2920511,0.359986,8.444e-09,1.064e-09,0.661,0.170
403464376.420109,403464378.579921,403464358.36185205,1.649862,2.298e-08,1.772e-09,0.491,0.080
403464385.469239,403464388.978922,403464363.381371,0.499972,8.910e-09,1.074e-09,0.822,0.199
403464393.278488,403464393.77846,403464365.88113105,0.679955,4.060e-08,2.686e-09,0.483,0.068
403464395.218302,403464395.888257,403464370.86065304,2.07982,6.297e-08,3.117e-09,0.495,0.052
403464401.307716,403464402.967576,403464377.13005006,2.159813,6.411e-08,3.203e-09,0.399,0.044
403464403.737482,403464404.257452,403464388.538954,3.509683,4.495e-08,2.460e-09,0.402,0.049
403464655.231158,403464655.282571,403464610.167567,1.329891,6.652e-08,3.800e-09,0.168,0.027
403464664.132345,403464664.832297,403464621.41648006,1.13991,5.326e-09,7.681e-10,0.556,0.168
403464677.86102,403464680.290805,403464626.715968,1.429882,2.831e-08,1.958e-09,0.188,0.036
403464707.368174,403464709.238013,403464647.233986,1.989828,1.113e-07,5.482e-09,0.153,0.022
403464720.946865,403464722.526733,403464655.24321306,0.051413,1.662e-09,4.317e-10,0.357,0.210
403464724.00657,403464725.476448,403464664.21234703,0.699952,7.384e-09,9.387e-10,0.390,0.109
403464731.605838,403464734.425587,403464680.200804,2.429786,2.031e-08,1.566e-09,0.359,0.063
403464750.534016,403464754.573647,403464708.81804407,1.86984,8.348e-09,9.739e-10,0.897,0.209
403464772.291924,403464774.291752,403464722.15675807,1.579868,2.005e-08,1.606e-09,0.114,0.030
403464775.93064,403464776.089028,403464724.52653,1.469878,3.106e-08,2.098e-09,0.121,0.026
403464869.572605,403464869.822601,403464731.725837,2.819749,1.558e-08,1.355e-09,0.241,0.053
403467483.200694,403467486.640549,403464750.554024,4.039631,1.509e-08,1.300e-09,0.312,0.063
403467500.73985,403467501.499833,403464774.10176,1.999828,1.235e-08,1.200e-09,0.310,0.071
403467610.664545,403467611.574521,403464775.9515821,0.158388,2.535e-09,5.422e-10,0.556,0.248
403467614.539836,403467616.058538,403464869.169804,2.899743,2.683e-08,1.084e-09,0.131,0.016
403467634.153872,403467634.488825,403464869.58261406,0.249996,1.191e-08,1.777e-09,0.249,0.093
403467665.881864,403467668.281767,403464908.46606207,0.171849,1.330e-09,1.757e-10,0.345,0.105
403467703.159603,403467703.83599,403464914.915449,2.199811,4.222e-09,3.112e-10,0.221,0.042
403467711.019796,403467713.142955,403467486.64053905,3.439854,1.125e-08,1.129e-09,0.201,0.053
403467738.678302,403467740.388238,403467500.9498501,0.759983,2.826e-08,2.174e-09,0.141,0.033
403467751.567668,403467753.14761,403467610.704553,0.909976,4.312e-09,6.978e-10,0.404,0.145
403467773.686576,403467774.686547,403467615.44432306,1.518702,2.430e-09,5.070e-10,0.348,0.165
403467784.634471,403467785.040026,403467634.213413,0.334953,1.506e-09,4.016e-10,0.075,0.078
403467788.205857,403467789.285824,403467667.441798,2.399903,6.626e-09,8.534e-10,0.251,0.081
403467810.566659,403467811.677228,403467703.290048,0.676387,2.485e-09,5.171e-10,0.095,0.070
403467815.91448,403467819.204336,403467711.2396591,2.123159,3.740e-09,6.325e-10,0.205,0.092
403467824.174068,403467825.374028,403467739.12829006,1.709936,4.638e-09,7.078e-10,0.269,0.100
403467969.085277,403467970.812735,403467752.80761707,1.579942,1.888e-08,1.531e-09,0.142,0.035
403467998.989093,403467999.558672,403467773.756583,0.999971,1.806e-08,1.576e-09,0.240,0.052
403468077.501033,403468078.261013,403467784.65604305,0.405555,1.707e-09,4.267e-10,0.333,0.191
403468113.859087,403468114.789057,403467788.505852,1.079967,4.398e-09,6.928e-10,0.145,0.070
403468153.766924,403468154.476905,403467811.2047241,1.110569,3.534e-09,6.225e-10,0.285,0.122
403468158.4421,403468159.023545,403467817.90439,3.289856,6.411e-09,8.283e-10,0.151,0.057
403468245.139793,403468245.185122,403467824.974038,1.19996,5.322e-08,3.112e-09,0.200,0.032
403468272.581683,403468272.663926,403467969.936682,1.727459,3.790e-09,6.426e-10,0.254,0.108
403468286.652299,403468287.289144,403467999.275161,0.569579,1.411e-09,3.916e-10,0.000,0.000
403468371.754579,403468372.614548,403468077.921021,0.75998,1.499e-08,1.406e-09,0.152,0.042
403468414.898863,403468415.235568,403468113.96909106,0.92997,9.864e-09,1.119e-09,0.322,0.085
403468423.88148,403468424.441466,403468154.0269201,0.709981,9.312e-09,1.074e-09,0.288,0.079
403468525.12586,403468525.238445,403468158.5666721,0.581446,3.057e-09,5.773e-10,0.560,0.220
403468552.342821,403468553.928319,403468245.171872,0.045329,4.267e-10,2.159e-10,1.000,0.987
403468562.330974,403468562.35935,403468272.600322,0.082244,8.685e-10,3.062e-10,2.955,2.405
403468599.670565,403468602.150426,403468286.83951104,0.636845,2.570e-09,5.371e-10,0.045,0.046
403468685.954933,403468686.504916,403468371.774588,0.859969,1.939e-08,1.672e-09,0.627,0.111
403468691.849693,403468691.971487,403468414.962024,0.336704,1.079e-09,3.414e-10,0.250,0.196
403469033.64875,403469034.182123,403468423.961485,0.559986,6.315e-09,8.835e-10,0.188,0.072
403469213.836279,403469215.086199,403468525.1252941,0.112585,1.391e-09,3.865e-10,0.086,0.090
403469415.461589,403469415.526745,403468552.7835591,1.585497,2.249e-09,4.920e-10,0.310,0.158
403469476.861536,403469477.157998,403468562.3329561,0.028377,6.476e-10,2.661e-10,0.206,0.225
403469490.781966,403469491.134732,403468599.960557,2.479861,1.506e-08,1.365e-09,0.109,0.033
403469607.825367,403469608.261725,403468686.22492504,0.549983,1.824e-08,1.611e-09,0.151,0.039
403469685.435977,403469685.875957,403468691.87454903,0.121794,1.285e-09,3.715e-10,0.333,0.222
403470095.258023,403470095.31622,403469033.790287,0.533373,1.591e-09,4.116e-10,0.153,0.117
403470437.571143,403470438.805152,403469214.43624103,1.24992,4.916e-08,2.927e-09,0.217,0.034
403470563.545436,403470563.597549,403469415.489658,0.065156,6.576e-10,2.711e-10,0.000,0.000
403473217.212794,403473217.234996,403469477.024395,0.296462,1.285e-09,3.715e-10,0.333,0.222
403473251.987193,403473253.088239,403469490.9131961,0.352766,2.334e-09,5.120e-10,0.000,0.000
403473311.319551,403473311.899543,403469607.84294,0.436358,1.129e-09,3.564e-10,0.442,0.306
403473614.816473,403473615.102061,403469685.5059811,0.43998,5.823e-09,8.132e-10,0.658,0.189
403473986.222319,403473986.386471,403470095.257748,0.058198,6.526e-10,2.661e-10,2.071,1.813
403473990.385048,403473991.055031,403470438.464669,1.234009,1.506e-09,4.016e-10,0.277,0.182
403474063.443227,403474063.920465,403470563.55261004,0.052113,1.772e-09,4.418e-10,0.459,0.245
403474187.472105,403474187.827026,403473217.21409404,0.022202,4.167e-10,2.058e-10,0.339,0.392
403474274.486484,403474274.609833,403473252.902375,1.101046,9.337e-10,3.112e-10,0.806,0.537
403474463.689187,403474463.807736,403473311.4595541,0.579992,4.654e-09,7.179e-10,0.136,0.065
403474604.451913,403474604.827738,403473614.964726,0.285587,1.145e-09,3.464e-10,0.373,0.254
403474679.631636,403474680.120744,403473986.325282,0.164152,1.054e-09,3.313e-10,0.112,0.118
403474814.212055,403474814.524174,403473990.90502906,0.669983,9.814e-09,1.099e-09,0.160,0.052
403475087.215444,403475088.115797,403474063.700945,0.477239,1.586e-09,4.116e-10,0.249,0.159
403475586.976486,403475587.716438,403474187.70373905,0.354921,1.155e-09,3.464e-10,0.096,0.100
403475786.455827,403475790.165635,403474274.488495,0.123349,8.534e-10,3.012e-10,0.604,0.440
403475953.16735,403475953.911304,403474463.69644105,0.118548,1.074e-09,3.414e-10,0.659,0.429
403476145.300624,403476153.027698,403474604.7768661,0.375826,1.054e-09,3.313e-10,0.429,0.294
403480418.332929,403480418.823281,403474679.89155805,0.489108,1.872e-09,4.568e-10,0.692,0.342
403480764.748066,403480764.803876,403474814.401682,0.312118,1.541e-09,4.116e-10,0.734,0.397
403482166.520557,403482167.141699,403475087.280213,0.900353,1.903e-09,4.618e-10,0.307,0.177
403486828.867653,403486828.941422,403475587.156479,0.739952,7.133e-09,9.136e-10,0.152,0.058
403486834.447092,403486834.509267,403475789.987504,3.709808,1.913e-09,4.518e-10,0.287,0.161
403486937.064673,403486937.734108,403475953.19192004,0.743954,2.706e-09,5.522e-10,0.407,0.183
403487373.759255,403487373.938494,403476150.802855,7.727074,2.691e-09,5.371e-10,0.256,0.128
403487458.188675,403487458.677343,403480418.335801,0.490351,1.867e-09,4.418e-10,0.291,0.165
403490972.598212,403490972.650424,403480764.779879,0.055811,5.221e-10,2.309e-10,0.000,0.000
403491003.655519,403491003.789695,403482166.841627,0.621142,6.375e-10,2.610e-10,0.198,0.217
403493457.410408,403493457.820388,403486828.90771306,0.073769,4.367e-10,2.209e-10,0.333,0.385
403497904.858602,403497905.268592,403486834.4472381,0.062176,4.568e-10,2.259e-10,0.338,0.390
403497906.918946,403497907.155374,403486937.068308,0.669435,3.183e-09,6.024e-10,0.403,0.168
403502468.124322,403502468.188652,403487373.788211,0.179239,5.321e-10,2.359e-10,0.683,0.622
403430146.998469,403430147.688261,403487458.330161,0.488668,9.488e-10,3.163e-10,0.286,0.231
403453296.706647,403453297.556586,403490972.62676203,0.052212,1.054e-10,1.054e-10,0.000,0.000
403453310.860278,403453312.677451,403491003.70520806,0.134176,1.697e-09,4.267e-10,0.599,0.310
403453325.201118,403453325.299989,403493457.54040504,0.40998,5.191e-09,8.032e-10,0.618,0.197
403464868.219885,403464871.119628,403497905.068596,0.40999,5.663e-09,8.183e-10,0.779,0.227
403464908.423184,403464908.595032,403497907.078449,0.236428,1.712e-09,4.267e-10,0.449,0.241
403464914.715458,403464916.915269,403502468.141533,0.06433,6.275e-10,2.560e-10,2.000,1.744
